cycle,pc,target,jump_double_b_predictor,jump_streak,is_taken
83252,2147494660,2147494664,0,-1,0
83254,2147494668,2147494628,1,0,1
83255,2147494668,2147494628,2,1,1
83265,2147494656,2147494660,1,0,0
83266,2147494660,2147494664,0,-1,0
83268,2147494668,2147494628,1,0,1
83269,2147494668,2147494628,2,1,1
83279,2147494656,2147494660,1,0,0
83280,2147494660,2147494664,0,-1,0
83282,2147494668,2147494628,1,0,1
83283,2147494668,2147494628,2,1,1
83293,2147494656,2147494660,1,0,0
83294,2147494660,2147494664,0,-1,0
83296,2147494668,2147494628,1,0,1
83297,2147494668,2147494628,2,1,1
83307,2147494656,2147494660,1,0,0
83308,2147494660,2147494664,0,-1,0
83310,2147494668,2147494628,1,0,1
83311,2147494668,2147494628,2,1,1
83321,2147494656,2147494660,1,0,0
83322,2147494660,2147494664,0,-1,0
83324,2147494668,2147494628,1,0,1
83325,2147494668,2147494628,2,1,1
83335,2147494656,2147494660,1,0,0
83336,2147494660,2147494664,0,-1,0
83338,2147494668,2147494628,1,0,1
83339,2147494668,2147494628,2,1,1
83349,2147494656,2147494660,1,0,0
83350,2147494660,2147494664,0,-1,0
83352,2147494668,2147494628,1,0,1
83353,2147494668,2147494628,2,1,1
83363,2147494656,2147494660,1,0,0
83364,2147494660,2147494664,0,-1,0
83366,2147494668,2147494628,1,0,1
83367,2147494668,2147494628,2,1,1
83377,2147494656,2147494660,1,0,0
83378,2147494660,2147494664,0,-1,0
83380,2147494668,2147494628,1,0,1
83381,2147494668,2147494628,2,1,1
83391,2147494656,2147494660,1,0,0
83392,2147494660,2147494664,0,-1,0
83394,2147494668,2147494628,1,0,1
83395,2147494668,2147494628,2,1,1
83405,2147494656,2147494660,1,0,0
83406,2147494660,2147494664,0,-1,0
83408,2147494668,2147494628,1,0,1
83409,2147494668,2147494628,2,1,1
83419,2147494656,2147494660,1,0,0
83420,2147494660,2147494664,0,-1,0
83422,2147494668,2147494628,1,0,1
83423,2147494668,2147494628,2,1,1
83433,2147494656,2147494660,1,0,0
83434,2147494660,2147494664,0,-1,0
83436,2147494668,2147494628,1,0,1
83437,2147494668,2147494628,2,1,1
83447,2147494656,2147494660,1,0,0
83448,2147494660,2147494664,0,-1,0
83450,2147494668,2147494628,1,0,1
83451,2147494668,2147494628,2,1,1
83461,2147494656,2147494660,1,0,0
83462,2147494660,2147494664,0,-1,0
83464,2147494668,2147494628,1,0,1
83465,2147494668,2147494628,2,1,1
83475,2147494656,2147494660,1,0,0
83476,2147494660,2147494664,0,-1,0
83478,2147494668,2147494628,1,0,1
83479,2147494668,2147494628,2,1,1
83489,2147494656,2147494660,1,0,0
83490,2147494660,2147494664,0,-1,0
83492,2147494668,2147494628,1,0,1
83493,2147494668,2147494628,2,1,1
83503,2147494656,2147494660,1,0,0
83504,2147494660,2147494664,0,-1,0
83506,2147494668,2147494628,1,0,1
83507,2147494668,2147494628,2,1,1
83517,2147494656,2147494660,1,0,0
83518,2147494660,2147494664,0,-1,0
83520,2147494668,2147494628,1,0,1
83521,2147494668,2147494628,2,1,1
83531,2147494656,2147494660,1,0,0
83532,2147494660,2147494664,0,-1,0
83534,2147494668,2147494628,1,0,1
83535,2147494668,2147494628,2,1,1
83545,2147494656,2147494660,1,0,0
83546,2147494660,2147494664,0,-1,0
83548,2147494668,2147494628,1,0,1
83549,2147494668,2147494628,2,1,1
83559,2147494656,2147494660,1,0,0
83560,2147494660,2147494664,0,-1,0
83562,2147494668,2147494628,1,0,1
83563,2147494668,2147494628,2,1,1
83573,2147494656,2147494660,1,0,0
83574,2147494660,2147494664,0,-1,0
83576,2147494668,2147494628,1,0,1
83577,2147494668,2147494628,2,1,1
83587,2147494656,2147494660,1,0,0
83588,2147494660,2147494664,0,-1,0
83590,2147494668,2147494628,1,0,1
83591,2147494668,2147494628,2,1,1
83601,2147494656,2147494660,1,0,0
83602,2147494660,2147494664,0,-1,0
83604,2147494668,2147494628,1,0,1
83605,2147494668,2147494628,2,1,1
83615,2147494656,2147494660,1,0,0
